xmin,xmax,clickSelects,PANEL,group
0.00657894736842105,0.0723684210526316,1,1,1
0.0723684210526316,0.138157894736842,2,1,1
0.138157894736842,0.203947368421053,3,1,1
0.203947368421053,0.269736842105263,4,1,1
0.269736842105263,0.335526315789474,5,1,1
0.335526315789474,0.401315789473684,6,1,1
0.401315789473684,0.467105263157895,7,1,1
0.467105263157895,0.532894736842105,8,1,1
0.532894736842105,0.598684210526316,9,1,1
0.598684210526316,0.664473684210526,10,1,1
0.664473684210526,0.730263157894737,11,1,1
0.730263157894737,0.796052631578947,12,1,1
0.796052631578947,0.861842105263158,13,1,1
